PopName,glottocodeBase,samplePopID,geographicRegion,publication,country,lat,lon,glottolog.node1,LangFamily,isolate,LowSampleSize,LowQualitySNP,proxyHeggartyTree,LangNameHeggartyTree
French_South,stan1290,NA,EURASIA,LazaridisNature2014,France,43.09,-0.05,indo1319,Indo-European,Family,NO,NO,stan1290,French
French_West,stan1290,NA,EURASIA,LazaridisNature2014,France,48.29879354,-4.123009966,indo1319,Indo-European,Family,NO,NO,stan1290,French
Gagauz,gaga1249,Chadyr-Lungsky_district_(Kiriet-Lunga__Kazaklia__Kopchak)_and_Vulkaneshtsky_district_(Chishmekioy),EURASIA,Jeong_2019,Moldova,45.54,28.38,turk1311,Turkic,Family,NO,NO,0,0
Georgian,nucl1302,NA,EURASIA,LazaridisNature2014,Georgia,42.5,41.85,kart1248,Kartvelian,Family,NO,NO,0,0
Georgian_Imeretins,imer1248,Georgia,EURASIA,Jeong_2019,Georgia,42.25,42.7,kart1248,Kartvelian,Family,NO,NO,0,0
Georgian_Laz,lazz1240,Turkey,EURASIA,Jeong_2019,Turkey,40.93,40.84,kart1248,Kartvelian,Family,NO,NO,0,0
Greek_Athens,gree1276,NA,EURASIA,LazaridisNature2014,Greece,37.96666667,23.71666667,indo1319,Indo-European,Family,NO,NO,mode1248,Greek
Greek_Thessaloniki,gree1276,NA,EURASIA,LazaridisNature2014,Greece,40.64,22.94,indo1319,Indo-European,Family,NO,NO,mode1248,Greek
Greek_WGA,gree1276,NA,EURASIA,LazaridisNature2014,Greece,37.9,23.7,indo1319,Indo-European,Family,NO,NO,mode1248,Greek
South_WesternGipuzkoa,bisc1236,NA,EURASIA,FloresBelloBasque2021,Spain,43.0065,-2.48,basq1248,Basque,Isolate,NO,NO,0,0
Gipuzkoa,guip1235,NA,EURASIA,FloresBelloBasque2021,Spain,43.1673,-2.1783,basq1248,Basque,Isolate,NO,NO,0,0
Hungarian1,hung1274,NA,EURASIA,LazaridisNature2014,Hungary,47.5,19.1,ural1272,Uralic,Family,NO,NO,0,0
Hungarian2,hung1274,NA,EURASIA,LazaridisNature2014,Hungary,47.487513,19.050293,ural1272,Uralic,Family,NO,NO,0,0
Ingushian,ingu1240,Ingushetia_Republic__Malgobeksky_district,EURASIA,Jeong_2019,Russia,43.52,44.58,nakh1245,Nakh-Daghestanian,Family,NO,NO,0,0
Iranian_Lor,luri1252,NA,EURASIA,LazaridisNature2016,Iran,33.465,48.339,indo1319,Indo-European,Family,NO,NO,0,0
Iranian_Mazandarani,maza1291,NA,EURASIA,LazaridisNature2016,Iran,36.529,52.671,indo1319,Indo-European,Family,NO,NO,maza1291,Mazanderani
Italian_Calabria,neap1235,NA,EURASIA,LazaridisNature2014,Italy,39.37,15.52,indo1319,Indo-European,Family,YES,NO,neap1235,Neapolitan
Italian_South,napo1241,NA,EURASIA,LazaridisNature2016,Italy,40.68,14.77,indo1319,Indo-European,Family,YES,NO,neap1235,Neapolitan
Jew_Georgian,jude1258,NA,EURASIA,LazaridisNature2014,Georgia,41.71666667,44.78333333,kart1248,Kartvelian,Family,NO,NO,0,0
Jew_Iraqi,jude1266,NA,EURASIA,LazaridisNature2014,Iraq,33.325,44.422,afro1255,Afro-Asiatic,Family,NO,NO,0,0
Jew_Turkish,ladi1251,NA,EURASIA,LazaridisNature2014,Turkey,41.01666667,28.95,indo1319,Indo-European,Family,NO,NO,0,0
Jordanian,sout3123,NA,EURASIA,LazaridisNature2014,Jordan,32.054645,35.914307,afro1255,Afro-Asiatic,Family,NO,NO,0,0
Kabardinian,kaba1278,Ingushetia_Republic__Baksansky_district,EURASIA,Jeong_2019,Russia,43.41,43.32,abkh1242,Abkhaz-Adyge,Family,NO,NO,0,0
Kaitag,darg1241,Dagestan_Republic,EURASIA,Jeong_2019,Russia,42.15,47.63,nakh1245,Nakh-Daghestanian,Family,NO,NO,0,0
Kalmyk,kalm1243,NA,EURASIA,LazaridisNature2014,Russia,46.169444,45.342778,mong1349,Mongolic-Khitan,Family,NO,NO,0,0
Karachai,kara1466,Karachaevo-Cherkessia_Republic,EURASIA,Jeong_2019,Russia,43.94,42.52,turk1311,Turkic,Family,NO,NO,0,0
Karakalpak,kara1467,Karakalpak_region,EURASIA,Jeong_2019,Uzbekistan,43,59,turk1311,Turkic,Family,NO,NO,0,0
Karelian_Northern,nort2673,Karelia_Republic__Kalevala_district,EURASIA,Jeong_2019,Russia,60.12,31.1,ural1272,Uralic,Family,NO,NO,0,0
Karelian_Southern,sout2676,Karelia_Republic__Prionezhsky_and_Olonets_districts,EURASIA,Jeong_2019,Russia,60.59,32.58,ural1272,Uralic,Family,NO,NO,0,0
Kazakhs_Aktyubinsk,kaza1248,Aktyubinsk_region__different_clans,EURASIA,Jeong_2019,Kazakhstan,50.17,57.1,turk1311,Turkic,Family,YES,NO,0,0
Kazakhs_West_Kazakhstan_Bayuli,kaza1248,West-Kazakhstan_region__mailnly_Bayuli_clan,EURASIA,Jeong_2019,Kazakhstan,51.14,51.22,turk1311,Turkic,Family,YES,NO,0,0
Kubachinian,kuba1248,Dagestan_Republic__Dakhadaevsky_district,EURASIA,Jeong_2019,Russia,42.08,47.58,nakh1245,Nakh-Daghestanian,Family,NO,NO,0,0
Kumyk,kumy1244,NA,EURASIA,LazaridisNature2014,Russia,43.25,46.583333,turk1311,Turkic,Family,NO,NO,0,0
Kurd,nort2641,Adyghei_Republic__Krasnogvardiysky_district,EURASIA,Jeong_2019,Russia,44.58,39.42,indo1319,Indo-European,Family,NO,NO,nort2641,KurdishNBahdini
Lak,lakk1252,Dagestan_Republic,EURASIA,Jeong_2019,Russia,42.17,47.12,nakh1245,Nakh-Daghestanian,Family,NO,NO,0,0
Lebanese,nort3139,NA,EURASIA,LazaridisNature2014,Lebanon,33.815666,35.57373,afro1255,Afro-Asiatic,Family,NO,NO,0,0
Lebanese_Christian,stan1323,NA,EURASIA,LazaridisNature2016,Lebanon,33.89,35.5,afro1255,Afro-Asiatic,Family,NO,NO,0,0
Lebanese_Muslim,stan1323,NA,EURASIA,LazaridisNature2016,Lebanon,33.89,35.5,afro1255,Afro-Asiatic,Family,NO,NO,0,0
Lezgin,lezg1247,NA,EURASIA,LazaridisNature2014,Russia,42.116667,48.183333,nakh1245,Nakh-Daghestanian,Family,NO,NO,0,0
Lithuanian,lith1251,NA,EURASIA,LazaridisNature2014,Lithuania,54.901882,23.917236,indo1319,Indo-European,Family,NO,NO,lith1251,Lithuanian
Maltese,malt1254,NA,EURASIA,LazaridisNature2014,Malta,35.94,14.38,afro1255,Afro-Asiatic,Family,NO,NO,0,0
Moldavian,mold1248,Shtefan-Vodsky_district__Kaplani,EURASIA,Jeong_2019,Moldova,46.38,29.87,indo1319,Indo-European,Family,NO,NO,roma1327,Romanian
Mordovian,erzy1239,NA,EURASIA,LazaridisNature2014,Russia,54.183333,45.183333,ural1272,Uralic,Family,NO,NO,0,0
Mordovian_Erzya,erzy1239,Mordovia_Republic__Lukoyanovsky__Ardatovsky__Chamzinsky___Ichkalovsky_districts,EURASIA,Jeong_2019,Russia,55.08,44.16,ural1272,Uralic,Family,NO,NO,0,0
Mordovian_Moksha,moks1248,Mordovia_Republic__Torbeevsky__Insarsky__Krasnoslobodsky_districts,EURASIA,Jeong_2019,Russia,54.08,43.13,ural1272,Uralic,Family,NO,NO,0,0
NorthAragon,stan1288,NA,EURASIA,FloresBelloBasque2021,Spain,42.43,-0.271,indo1319,Indo-European,Family,NO,NO,stan1288,Spanish
Central_WesternNafarroa,alto1237,NA,EURASIA,FloresBelloBasque2021,Spain,42.9134,-1.8181,basq1248,Basque,Isolate,NO,NO,0,0
NavarreLabourdin,east1470,NA,EURASIA,FloresBelloBasque2021,France,43.2298,-1.1888,basq1248,Basque,Isolate,NO,NO,0,0
North_WesternNafarroa,alto1238,NA,EURASIA,FloresBelloBasque2021,Spain,43.1724,-1.6588,basq1248,Basque,Isolate,NO,NO,0,0
Nogai,noga1249,NA,EURASIA,LazaridisNature2014,Russia,44.37252,41.93765,turk1311,Turkic,Family,NO,NO,0,0
Nogai_Astrakhan,noga1249,Astrakhan_region__Astrakhan__Krasnoyarsk_and_Volodarsky_districts,EURASIA,Jeong_2019,Russia,46.2,48.01,turk1311,Turkic,Family,NO,NO,0,0
Nogai_Stavropol,noga1249,Stavropol_region__Neftekumsky__Kochubeyevsky__Mineralovodchesky__districts,EURASIA,Jeong_2019,Russia,44.4,41.5,turk1311,Turkic,Family,NO,NO,0,0
Norwegian,norw1258,NA,EURASIA,LazaridisNature2014,Norway,60.359,5.358,indo1319,Indo-European,Family,NO,NO,norw1262,NorwegianNynorsk
Orcadian,scot1243,20,EURASIA,PattersonGenetics2012,OrkneyIslands,59,-3,indo1319,Indo-European,Family,NO,NO,scot1245,GaelicScottish
